comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda
Cerro Navia,Venta Casa Cerro Navia |ureta Bravo Propiedades|,,250.0,80.0,1,3,51,4,True,False,False,False,True,True,True,https://portalinmobiliario.com/MLC-3194848688-venta-casa-cerro-navia-ureta-bravo-propiedades-_JM,casa
Cerro Navia,Casa En Venta De 3 Dorm. En Cerro Navia,,180.0,59.0,1,3,16,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3203783434-casa-en-venta-de-3-dorm-en-cerro-navia-_JM,casa
Cerro Navia,Casa En Venta De 4 Dorm. En Cerro Navia,,270.0,230.0,2,4,45,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2928506820-casa-en-venta-de-4-dorm-en-cerro-navia-_JM,casa
Cerro Navia,Casa En Venta De 11 Dorm. En Cerro Navia,,150.0,150.0,6,11,62,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2914862724-casa-en-venta-de-11-dorm-en-cerro-navia-_JM,casa
Cerro Navia,"Propiedad Excelente Estado, Cerca A Linea  7 Metro C. Navia",2539.0,162.0,107.0,2,5,45,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1724608351-propiedad-excelente-estado-cerca-a-linea-7-metro-c-navia-_JM,casa
Cerro Navia,"Casa En Venta De 2 Dorm 1 Baño En Alianza 2, Cerro Navia",,128.0,54.0,1,2,41,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1678115079-casa-en-venta-de-2-dorm-1-bano-en-alianza-2-cerro-navia-_JM,casa
Cerro Navia,Vende Casa Con Local Comercial Cerro Navia,,170.0,170.0,1,4,17,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2885844584-vende-casa-con-local-comercial-cerro-navia-_JM,casa
Cerro Navia,Amplia Casa Mas Local Comercial (67215),,160.0,107.0,1,3,51,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3195977926-amplia-casa-mas-local-comercial-67215-_JM,casa
Cerro Navia,Venta Casa Cerro Navia Con Estacionamiento,,204.0,204.0,3,6,35,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3201115322-venta-casa-cerro-navia-con-estacionamiento-_JM,casa
Cerro Navia,Venta Casa Cerro Navia Próximo Línea 7 Del Metro,1695.0,106.0,106.0,1,4,0,1,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-3071812914-venta-casa-cerro-navia-proximo-linea-7-del-metro-_JM,casa
Cerro Navia,"Vendo Casa En Psje Lisboa 1779, Cerro Navia",,166.0,162.0,2,4,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2994462786-vendo-casa-en-psje-lisboa-1779-cerro-navia-_JM,casa
Cerro Navia,2 Casas De Un Piso Deslinde Cerro Navia Y Quinta Normal.,,265.0,80.0,2,2,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2878461418-2-casas-de-un-piso-deslinde-cerro-navia-y-quinta-normal-_JM,casa
Cerro Navia,"Casa Mestizo Alejo-las Torres, Solo Compra Contado",,200.0,120.0,2,3,30,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1716195487-casa-mestizo-alejo-las-torres-solo-compra-contado-_JM,casa
